X,Y,label
24173,2000-01-01 0:38:37,a
31399,2000-01-01 1:16:21,a
30642,2000-01-01 9:03:57,a
15503,2000-01-01 1:12:41,a
5461,2000-01-01 0:13:15,a
4054,2000-01-01 0:36:14,a
1906,2000-01-01 0:04:01,a
4737,2000-01-01 0:32:35,a
1776,2000-01-01 0:03:40,a
23714,2000-01-01 0:54:28,a
4323,2000-01-01 0:07:38,a
6358,2000-01-01 0:16:11,a
419,2000-01-01 0:01:29,a
10158,2000-01-01 0:32:46,b
13329,2000-01-01 1:05:14,b
3490,2000-01-01 0:14:28,b
5530,2000-01-01 0:25:21,b
36562,2000-01-01 4:49:29,b
13156,2000-01-01 0:25:47,b
950,2000-01-01 0:00:38,b
3760,2000-01-01 0:05:04,b
14879,2000-01-01 1:24:13,b
33707,2000-01-01 1:22:20,b
13137,2000-01-01 0:27:42,b
2993,2000-01-01 0:09:33,b
16621,2000-01-01 1:00:20,b
9786,2000-01-01 0:38:15,b
18415,2000-01-01 0:56:35,b
7616,2000-01-01 0:12:14,b
5649,2000-01-01 0:09:16,b
20723,2000-01-01 0:54:59,b
2543,2000-01-01 0:12:30,b
4560,2000-01-01 0:10:17,b
44388,2000-01-01 4:39:53,c
586,2000-01-01 0:09:38,c
165,2000-01-01 0:00:25,c
5666,2000-01-01 0:55:11,c
7619,2000-01-01 1:09:44,c
26822,2000-01-01 5:35:03,c
3505,2000-01-01 0:14:14,c
18675,2000-01-01 1:56:53,c
3231,2000-01-01 0:13:29,c
3433,2000-01-01 0:04:22,c
1999,2000-01-01 0:33:27,c
140,2000-01-01 0:00:03,c
5614,2000-01-01 0:35:14,c
8671,2000-01-01 0:42:55,c
4054,2000-01-01 0:26:48,c
3190,2000-01-01 0:20:28,c
